company_id,year,previous_pattern,new_pattern
TATASTEEL,2018,REINVESTOR,GROWTH_FINANCING
TATASTEEL,2019,GROWTH_FINANCING,REINVESTOR
TCS,2018,REINVESTOR,SHAREHOLDER_RETURNS
TCS,2021,SHAREHOLDER_RETURNS,REINVESTOR
TCS,2023,REINVESTOR,SHAREHOLDER_RETURNS
TECHM,2014,GROWTH_FINANCING,SHAREHOLDER_RETURNS
TECHM,2015,SHAREHOLDER_RETURNS,REINVESTOR
TECHM,2020,REINVESTOR,SHAREHOLDER_RETURNS
TECHM,2021,SHAREHOLDER_RETURNS,REINVESTOR
TECHM,2022,REINVESTOR,SHAREHOLDER_RETURNS
TECHM,2023,SHAREHOLDER_RETURNS,REINVESTOR
TITAN,2014,REINVESTOR,DISTRESS
TITAN,2015,DISTRESS,REINVESTOR
TITAN,2018,REINVESTOR,ASSET_LIQUIDATION
TITAN,2019,ASSET_LIQUIDATION,REINVESTOR
TITAN,2020,REINVESTOR,ASSET_LIQUIDATION
TITAN,2021,ASSET_LIQUIDATION,REINVESTOR
TITAN,2022,REINVESTOR,ASSET_LIQUIDATION
TITAN,2023,ASSET_LIQUIDATION,GROWTH_FINANCING
TITAN,2024,GROWTH_FINANCING,REINVESTOR
TORNTPHARM,2016,GROWTH_FINANCING,REINVESTOR
TORNTPHARM,2018,REINVESTOR,GROWTH_FINANCING
TORNTPHARM,2019,GROWTH_FINANCING,REINVESTOR
TORNTPHARM,2020,REINVESTOR,SHAREHOLDER_RETURNS
TORNTPHARM,2021,SHAREHOLDER_RETURNS,REINVESTOR
TORNTPHARM,2023,REINVESTOR,GROWTH_FINANCING
TORNTPHARM,2024,GROWTH_FINANCING,REINVESTOR
TRENT,2014,GROWTH_FINANCING,CASH_BURN
TRENT,2015,CASH_BURN,DISTRESS
TRENT,2016,DISTRESS,REINVESTOR
TRENT,2019,REINVESTOR,GROWTH_FINANCING
TRENT,2021,GROWTH_FINANCING,SHAREHOLDER_RETURNS
TRENT,2023,SHAREHOLDER_RETURNS,REINVESTOR
TVSMOTOR,2015,REINVESTOR,GROWTH_FINANCING
TVSMOTOR,2016,GROWTH_FINANCING,REINVESTOR
TVSMOTOR,2018,REINVESTOR,GROWTH_FINANCING
TVSMOTOR,2019,GROWTH_FINANCING,DISTRESS
TVSMOTOR,2020,DISTRESS,GROWTH_FINANCING
TVSMOTOR,2022,GROWTH_FINANCING,DISTRESS
